model,split,MAE,RMSE,MAPE_pct,R2
median_rpm,selection_Jul_Aug,249.0120064390102,674.7181174548526,11.163395245139093,0.7951129480092586
quote_times_distance,selection_Jul_Aug,367.2926189754938,753.957462450645,17.757603513528625,0.7441629386403681
ridge_core,selection_Jul_Aug,397.5813937214048,739.6581289942527,17.507848999835232,0.7537751741325673
hist_core,selection_Jul_Aug,207.92993190850626,645.2626144863269,8.72306886021739,0.812611568185616
hist_market,selection_Jul_Aug,190.43410200431438,640.3533492314717,8.032288766594277,0.8154520860476245
hist_quote,selection_Jul_Aug,171.45569887411892,640.287662183646,7.084764059251454,0.8154899457259097
hist_quote,locked_test_Sep_Oct,127.91199054494477,638.9045970201604,5.467388754065667,0.8247196832395524
hist_core,locked_test_Sep_Oct,113.75953488398741,633.421201964451,5.082475458645861,0.8277154568656534
median_rpm,locked_test_Sep_Oct,256.95293879821725,684.247911313515,11.631462355075119,0.7989574036671687
quote_times_distance,locked_test_Sep_Oct,246.02165250425287,711.799751342299,12.110305950719336,0.7824411335299419
